"Provider Number","Facility Name",County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Percent of Adult HD patients with Kt/V >= 1.2","Number of adult HD patients with KT/V data","Number of patients included in the transfusion summary","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Number of patients included in hospitalization summary","No. of hospitalization with hospital readmission summary","Number of Patients included in survival summary","Number of Patients included in fistula summary","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Number of patients in nPCR summary","Number of patient-months in nPCR summary","PPPW category text","Patient Transfusion category text","Fistula Category Text","Patient Infection category text","Patient Hospital Readmission Category","Patient Survival Category Text","Patient hospitalization category text"
32561,"032561 CASA GRANDE DIALYSIS (FMC)",PINAL,Profit,"RENAL CARE GROUP INC.",16,99,173,124,210,1756,212,1816,148,175,604,192,192,1652,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
32562,"DAVITA COTTONWOOD DIALYSIS",YAVAPAI,Profit,DAVITA,10,97,71,42,73,612,78,618,48,54,178,77,77,654,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32563,"032563 SCOTTSDALE DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",12,98,76,42,80,660,79,654,51,48,227,81,81,678,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32564,"032564 MARYVALE DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",28,97,146,91,154,1466,158,1458,102,99,405,159,159,1480,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32565,"032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)",PIMA,Non-Profit,"DIALYSIS CLINIC, INC.",25,93,67,46,73,686,77,703,52,42,211,77,77,709,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32568,"032568 RED MOUNTAIN DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",13,95,83,59,89,698,92,756,64,86,249,91,91,760,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","Worse than Expected"
32571,"032571 NORTH SCOTTSDALE DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",13,96,104,101,159,1246,161,1249,126,138,484,143,143,1098,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32572,"DAVITA DESERT DIALYSIS",MARICOPA,Profit,DAVITA,20,93,105,58,108,882,117,880,79,86,338,117,117,925,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32573,"DAVITA PASCUA YAQUI TRIBE DIALYSIS",PIMA,Profit,DAVITA,13,99,54,41,56,468,62,498,45,38,177,62,62,512,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32575,"032575 SHOW LOW DIALYSIS (FMC)",NAVAJO,Profit,"FRESENIUS MEDICAL CARE",12,99,99,75,117,1149,116,1146,96,74,402,101,101,1015,0,0,"As Expected","As Expected","As Expected","Worse than Expected","Better than Expected","As Expected","As Expected"
32577,"032577 YAVAPAI DIALYSIS (FMC)",YAVAPAI,Profit,"FRESENIUS MEDICAL CARE",16,95,88,81,138,1138,143,1184,102,106,445,116,116,921,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32578,"032578 APACHE JUNCTION DIALYSIS (FMC)",PINAL,Profit,"FRESENIUS MEDICAL CARE",24,100,87,60,92,744,104,792,78,66,338,105,105,806,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32579,"032579 SUN LAKES DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",16,98,83,61,85,787,94,799,72,97,279,94,94,809,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
32580,"032580 PALM VALLEY DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",12,99,77,48,83,665,85,708,55,65,220,86,86,710,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
32581,"032581 AK-CHIN DIALYSIS (FMC)",PINAL,Profit,"RENAL CARE GROUP INC.",12,98,83,62,84,780,86,782,72,86,276,86,86,773,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32583,"032583 SOUTH PHOENIX DIALYSIS (DSI)",MARICOPA,Profit,INDEPENDENT,20,92,62,43,71,657,70,658,51,59,178,71,71,663,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32587,"032587 DEER VALLEY DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",19,99,99,67,109,871,118,910,84,91,323,118,118,921,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32589,"DAVITA TUCSON SOUTH CENTRAL DIALYSIS",PIMA,Profit,DAVITA,30,99,95,51,100,894,104,928,56,76,242,105,105,937,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32592,"DAVITA HOPI DIALYSIS CENTER",NAVAJO,Profit,DAVITA,11,98,38,38,50,436,49,417,40,29,136,38,38,350,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32593,"032593 GRANITE VALLEY DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",18,98,64,37,66,509,71,535,54,52,218,71,71,525,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32594,"032594 SALT RIVER DIALYSIS CENTER (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",16,98,90,62,96,908,98,906,65,85,235,101,101,940,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32596,"032596 NORTHEAST PHOENIX DIALYSIS (DSI)",MARICOPA,Profit,INDEPENDENT,16,95,58,39,69,590,75,602,50,82,204,71,71,550,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32597,"032597 SAN CARLOS DIALYSIS (FMC)",GILA,Profit,"FRESENIUS MEDICAL CARE",16,95,81,55,81,797,83,789,62,67,226,87,87,839,2,14,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32598,"032598 MAMMOTH DIALYSIS (FMC)",PINAL,Profit,"FRESENIUS MEDICAL CARE",12,92,32,23,33,289,33,300,28,30,106,33,33,300,0,0,"As Expected","Not Available","As Expected","As Expected","As Expected","As Expected","As Expected"
32599,"032599 AHWATUKEE DIALYSIS (FMC)",MARICOPA,Profit,"RENAL CARE GROUP INC.",16,99,88,55,94,669,96,690,68,77,226,97,97,687,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32601,"DAVITA PALM BROOK DIALYSIS CENTER",MARICOPA,Profit,DAVITA,20,98,127,76,131,991,142,1085,97,124,388,139,139,1072,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32604,"DAVITA ARROWHEAD LAKES DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,148,157,269,2385,280,2413,185,169,780,172,172,1465,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32605,"DAVITA GILBERT DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,108,66,110,945,127,1007,87,88,358,126,126,1014,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
32607,"032607 AVONDALE DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",20,100,123,67,133,1258,136,1277,80,80,368,137,137,1273,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32608,"032608 AVONDALE DIALYSIS (DSI)",MARICOPA,Profit,INDEPENDENT,24,96,62,45,71,619,71,621,52,52,204,65,65,580,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32609,"DAVITA TEMPE DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,97,142,203,337,2812,364,2993,245,285,951,165,165,1371,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32610,"032610 SOUTHEAST VALLEY DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",24,98,109,71,117,839,124,893,89,96,330,125,125,895,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32611,"DAVITA PHOENIX DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,157,97,159,1370,161,1394,105,103,470,165,165,1434,0,0,"As Expected","As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected"
32612,"DAVITA ESTRELLA DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,153,134,235,2224,242,2263,148,165,620,168,168,1524,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32613,"032613 NORTHWEST TUCSON DIALYSIS (FMC)",PIMA,Profit,"FRESENIUS MEDICAL CARE",20,99,114,90,135,1032,153,1129,108,105,431,139,139,993,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32614,"032614 DOUGLAS DIALYSIS CENTER (DCI)",COCHISE,Non-Profit,"DIALYSIS CLINIC, INC.",12,91,52,45,68,605,70,625,48,68,179,63,63,556,0,0,"As Expected","As Expected","Better than Expected","Better than Expected","As Expected","As Expected","As Expected"
32615,"DAVITA RIM COUNTRY DIALYSIS",GILA,Profit,DAVITA,6,99,36,31,37,295,40,313,31,26,130,41,41,315,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32616,"032616 DESERT DIALYSIS SAHUARITA (DCI)",PIMA,Non-Profit,"DIALYSIS CLINIC, INC.",24,96,61,44,68,483,73,518,53,44,204,72,72,518,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32617,"032617 TUCSON WEST DIALYSIS CENTER (FMC)",PIMA,Profit,"FRESENIUS MEDICAL CARE",24,97,81,55,87,752,95,786,60,62,294,96,96,796,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32618,"DAVITA NORTHWEST TUCSON DIALYSIS",PIMA,Profit,DAVITA,18,97,80,50,87,728,84,680,62,46,316,88,88,726,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32619,"DAVITA MOUNTAIN VISTA DIALYSIS CENTER OF ARIZONA",MARICOPA,Profit,DAVITA,24,99,123,73,130,1090,134,1144,94,110,357,134,134,1128,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32620,"DAVITA GRAND HOME DIALYSIS",MARICOPA,Profit,DAVITA,4,0,0,44,80,522,83,567,51,32,141,0,0,0,0,0,"As Expected","As Expected","Not Available","Not Available","As Expected","As Expected","As Expected"
32621,"DAVITA WESTBROOK DIALYSIS",MARICOPA,Profit,DAVITA,16,100,108,75,113,953,123,1015,93,72,379,123,123,1018,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32622,"032622 GOODYEAR DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",24,98,160,137,204,1585,209,1585,157,117,564,192,192,1541,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
32624,"DAVITA CENTRAL MESA DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,97,108,56,110,891,111,903,68,73,318,112,112,913,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32625,"DAVITA RAVEN DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,140,90,147,1307,154,1349,98,78,413,155,155,1356,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32626,"032626 MIDVALE PARK DIALYSIS (FMC)",PIMA,Profit,"FRESENIUS MEDICAL CARE",23,97,123,92,149,1287,156,1367,107,108,409,139,139,1219,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32627,"DAVITA TUCSON CENTRAL DIALYSIS",PIMA,Profit,DAVITA,12,95,86,71,148,1092,156,1131,85,81,337,95,95,666,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32628,"032628 KINGMAN DIALYSIS CLINIC (FMC)",MOHAVE,Profit,"FRESENIUS MEDICAL CARE",27,93,144,141,183,1576,193,1619,154,164,579,184,184,1540,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32629,"032629 SOUTH TUCSON DIALYSIS (FMC)",PIMA,Profit,"FRESENIUS MEDICAL CARE",24,96,88,58,95,761,104,799,69,73,288,104,104,801,1,1,"Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32630,"DAVITA BROOKWOOD DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,99,136,96,145,1228,148,1228,112,114,452,148,148,1246,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32631,"DAVITA OCOTILLO DIALYSIS",MARICOPA,Profit,DAVITA,12,99,83,59,85,616,90,654,69,76,261,92,92,665,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32632,"DAVITA RITA RANCH DIALYSIS (AKA TUCSON EAST II)",PIMA,Profit,DAVITA,12,99,43,29,44,385,43,390,34,25,135,44,44,398,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32633,"032633 SANTAN DIALYSIS (FMC)",PINAL,Profit,"FRESENIUS MEDICAL CARE",12,94,82,56,85,625,88,633,64,37,231,87,87,650,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32634,"DAVITA MARYVALE DIALYSIS CENTER",MARICOPA,Profit,DAVITA,24,98,134,77,139,1283,144,1318,87,93,369,142,142,1298,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32635,"032635 GILBERT DIALYSIS (FMC)",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",12,99,74,81,149,1261,150,1286,104,107,388,103,103,876,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32636,"032636 US RENAL CARE FLAGSTAFF DIALYSIS",COCONINO,Profit,"US RENAL CARE, INC.",17,99,57,49,68,539,69,537,55,62,191,63,63,450,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32637,"DAVITA WICKENBURG DIALYSIS",MARICOPA,Profit,DAVITA,9,99,20,10,21,167,21,175,13,13,68,21,21,170,0,0,"As Expected","Not Available","As Expected","As Expected","As Expected","As Expected","As Expected"
32638,"DAVITA POWER ROAD DIALYSIS PD",MARICOPA,Profit,DAVITA,12,99,84,137,231,1952,250,2038,160,154,634,90,90,749,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
32639,"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",MARICOPA,Profit,"AMERICAN RENAL ASSOCIATES",18,100,86,65,99,930,102,957,72,65,260,94,94,855,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32640,"DAVITA SWEETWATER RIDGE DIALYSIS",MARICOPA,Profit,DAVITA,20,99,111,70,116,924,132,1006,78,65,299,130,130,1029,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32641,"DAVITA SCOTTSDALE DIALYSIS",MARICOPA,Profit,DAVITA,12,96,81,62,85,582,91,587,75,86,168,94,94,614,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32642,"DAVITA PHOENIX HOME DIALYSIS PD ONLY",MARICOPA,Profit,DAVITA,1,0,0,47,70,585,76,618,50,49,154,0,0,0,0,0,"As Expected","As Expected","Not Available","Not Available","As Expected","As Expected","As Expected"
32643,"032643 EAST TUCSON (FMC)",BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",25,97,97,83,128,1148,137,1195,95,174,343,121,121,1056,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected"
32644,"DAVITA EDGE RIVER DIALYSIS",YUMA,Profit,DAVITA,13,97,88,84,132,1149,136,1182,99,83,352,93,93,826,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32645,"DAVITA FOUNTAIN HILLS DIALYSIS",MARICOPA,Profit,DAVITA,12,97,37,24,52,358,53,373,34,42,99,41,41,267,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
32646,"032646-FMC-GLENDALE TOWN CENTER",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",25,95,93,56,99,795,104,832,68,98,191,105,105,853,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
32647,"032647-FMC NORTH MOUNTAIN",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",25,98,91,56,96,665,108,720,70,83,130,109,109,726,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32648,"032648-FMC OLD TOWN SCOTTSDALE",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",25,98,50,32,55,423,58,457,36,27,84,59,59,456,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32649,"032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC",MARICOPA,Profit,"AMERICAN RENAL ASSOCIATES",2,0,0,0,0,0,1,2,7,3,15,0,0,0,0,0,"As Expected","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
32650,"032650 FRESENIUS KIDNEY CARE DESERT SAGE",MARICOPA,Profit,"FRESENIUS MEDICAL CARE",25,97,82,49,84,630,94,704,54,45,84,95,95,716,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32651,"DAVITA SWAN DIALYSIS",PIMA,Profit,DAVITA,12,100,46,28,46,298,59,347,36,35,46,57,57,339,1,5,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
32652,"DAVITA ORO VALLEY DIALYSIS",UNKNOWN,Profit,DAVITA,12,99,33,30,40,274,39,273,34,25,34,34,34,235,1,2,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
32653,"032653-FRESENIUS KIDNEY CARE WESTGATE HOME",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",1,0,4,26,48,225,51,237,31,18,31,29,29,128,0,0,"As Expected","Not Available","As Expected","Not Available","As Expected","Not Available","As Expected"
32654,"032654-FRESENIUS KIDNEY CARE CANYON VISTA",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",15,90,16,8,18,49,17,51,11,3,11,17,17,54,0,0,"As Expected","Not Available","As Expected","Not Available","Not Available","Not Available","Not Available"
32655,"DAVITA EVERGREEN PARK DIALYSIS",UNKNOWN,Profit,DAVITA,20,0,7,3,15,50,16,38,5,1,5,8,8,22,0,0,"As Expected","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
32656,"032656-FRESENIUS KIDNEY CARE WESTGATE",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",23,0,4,1,4,13,6,14,2,3,2,6,6,15,0,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
32657,"FRESENIUS KIDNEY CARETANGERINE CROSSING",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",20,90,17,8,23,49,22,48,10,5,10,17,17,46,0,0,"As Expected","Not Available","As Expected","Not Available","Not Available","Not Available","Not Available"
32658,"DAVITA DIALYSIS CARE AT PALM VALLEY",UNKNOWN,Profit,DAVITA,24,0,1,0,1,4,1,1,0,0,0,1,1,4,0,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
32659,"BIO-MEDICAL APPLICATIONS OF ARIZONA, LLA",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
32660,"SCOTTSDALE KIDNEY CENTER, LLC",UNKNOWN,Profit,"AMERICAN RENAL ASSOCIATES",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
32661,"032661-FRESENIUS KIDNEY CARE GATEWAY",UNKNOWN,Profit,"FRESENIUS MEDICAL CARE",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
32662,"DAVITA STONEBROOK DIALYSIS",UNKNOWN,Profit,DAVITA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
32663,"DAVITA DESERT DUNES DIALYSIS",UNKNOWN,Profit,DAVITA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
33503,"033503 GILA RIVER DIALYSIS WEST",MARICOPA,Non-Profit,INDEPENDENT,20,95,81,64,88,831,92,828,68,69,258,92,92,860,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
33504,"033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS",MARICOPA,Non-Profit,INDEPENDENT,8,0,10,5,10,103,10,95,5,0,14,10,10,103,0,0,"Not Available","Not Available","Not Available","As Expected","Not Available","Not Available","Not Available"
42303,"ST BERNARDS REGIONAL MED CTR-DIALYSIS",CRAIGHEAD,Non-Profit,INDEPENDENT,20,99,93,121,165,1472,171,1555,132,125,544,112,112,904,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42310,"ARKANSAS CHILDRENS HOSPITAL-DIALYSIS",PULASKI,Non-Profit,INDEPENDENT,7,0,0,0,0,0,0,0,11,18,52,0,0,0,8,60,"As Expected","Not Available","Not Available","Not Available","As Expected","Not Available","As Expected"
42501,"FT SMITH REGIONAL DIALYSIS CTR",SEBASTIAN,Profit,INDEPENDENT,55,96,363,341,449,3898,492,4167,385,486,1411,399,399,3207,0,0,"Worse than Expected","Better than Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
42507,"DAVITA OUACHITA DIALYSIS",GARLAND,Profit,DAVITA,24,100,44,42,46,430,50,442,46,65,164,49,49,433,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42508,"DAVITA RIVER VALLEY DIALYSIS",POPE,Profit,DAVITA,20,99,110,100,133,1138,145,1212,115,105,420,124,124,974,0,0,"Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42510,"FMCNA - HELENA",PHILLIPS,Profit,"FRESENIUS MEDICAL CARE",17,98,74,52,76,719,81,750,56,54,240,80,80,747,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42512,"DAVITA DEGRAY DIALYSIS",CLARK,Profit,DAVITA,17,97,66,50,70,666,71,676,60,44,237,71,71,686,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
42513,"DAVITA SPRINGHILL DIALYSIS",PULASKI,Profit,DAVITA,17,99,99,154,202,1712,208,1737,165,177,667,107,107,875,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
42514,"DAVITA SEARCY DIALYSIS",WHITE,Profit,DAVITA,16,99,81,123,153,1342,164,1393,142,168,570,92,92,816,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
42515,"KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA",COLUMBIA,Profit,INDEPENDENT,12,90,11,12,11,113,11,110,12,12,44,11,11,113,0,0,"Not Available","Not Available","As Expected","Not Available","As Expected","As Expected","As Expected"
42517,"DAVITA CONWAY DIALYSIS",FAULKNER,Profit,DAVITA,20,94,118,143,175,1500,180,1517,157,135,644,130,130,1080,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42518,"FMCNA - FAULKNER COUNTY",FAULKNER,Profit,"FRESENIUS MEDICAL CARE",10,99,31,25,35,243,37,266,35,30,115,36,36,263,0,0,"Worse than Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
42521,"FMCNA - LITTLE ROCK DIALYSIS",PULASKI,Profit,"FRESENIUS MEDICAL CARE",20,96,123,162,231,1996,251,2100,197,182,783,145,145,1226,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42525,"DAVITA OUACHITA VALLEY DIALYSIS",OUACHITA,Profit,DAVITA,25,98,76,64,83,808,89,843,69,59,302,86,86,811,0,0,"Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42527,"FKC - LAKE VILLAGE",CHICOT,Profit,"FRESENIUS MEDICAL CARE",20,94,65,45,70,604,75,629,54,53,157,75,75,636,0,0,"Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42528,"FMCNA - EAST ARKANSAS",CRITTENDEN,Profit,"FRESENIUS MEDICAL CARE",25,99,99,91,110,1091,116,1120,99,108,370,107,107,1015,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
42531,"DAVITA HOT SPRINGS DIALYSIS",GARLAND,Profit,DAVITA,28,99,127,126,186,1596,195,1665,160,189,590,158,158,1314,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42532,"FMCNA - PINE BLUFF",JEFFERSON,Profit,"FRESENIUS MEDICAL CARE",23,98,134,102,159,1540,167,1600,118,139,478,144,144,1386,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
42533,"FMCNA - ST FRANCIS COUNTY DIALYSIS","SAINT FRANCIS",Profit,"FRESENIUS MEDICAL CARE",22,96,91,75,93,921,95,941,84,52,337,93,93,942,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42534,"DAVITA OSCEOLA DIALYSIS",MISSISSIPPI,Profit,DAVITA,12,100,53,48,58,513,59,522,54,56,191,60,60,531,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42535,"DAVITA PULASKI COUNTY DIALYSIS",PULASKI,Profit,DAVITA,9,99,51,39,53,451,60,472,45,58,208,60,60,475,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42536,"DAVITA SOUTH ARKANSAS DIALYSIS",UNION,Profit,DAVITA,36,100,146,107,160,1491,165,1547,119,94,479,156,156,1463,0,0,"Worse than Expected","Worse than Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
42537,"FMCNA - STUTTGART DIALYSIS",ARKANSAS,Profit,"FRESENIUS MEDICAL CARE",15,98,64,46,64,625,69,660,51,51,192,70,70,656,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
42539,"DAVITA FAYETTEVILLE DIALYSIS",WASHINGTON,Profit,DAVITA,9,99,51,36,58,463,59,485,42,39,143,53,53,426,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
42540,"DAVITA BENTONVILLE DIALYSIS",BENTON,Profit,DAVITA,21,99,76,54,102,605,110,636,62,40,238,93,93,499,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
