Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
TURNER HILL DIALYSIS,112866,LITHONIA,58,0.50%,DAVITA
"SEMINOLE DIALYSIS, LLC",112867,HIRAM,65,0.00%,DAVITA
"BIO-MEDICAL APPLICATIONS OF GEORGIA,LLC",112868,CARTERSVILLE,48,1.00%,FRESENIUS MEDICAL CARE
"GOLDENDALE DIALYSIS, LLC",112869,COLUMBUS,53,0.50%,DAVITA
OSAGE DIALYSIS LLC,112870,ALPHARETTA,85,0.00%,DAVITA
"INNOVATIVE DIALYSIS CENTERS OF LA GRANGE, LLC",112871,LAGRANGE,47,1.00%,"US RENAL CARE, INC."
"LAPHAM DIALYSIS, LLC",112872,ELLIJAY,78,0.00%,DAVITA
HEPHZIBAH DIALYSIS CLINIC LLC,112874,HEPHZIBAH,77,0.00%,AMERICAN RENAL ASSOCIATES
"TOTAL RENAL CARE, INC.",112875,ATLANTA,53,0.50%,DAVITA
"TOTAL RENAL CARE, INC",112876,COLUMBUS,77,0.00%,DAVITA
"TOTAL RENAL CARE, INC.",112877,ATLANTA,46,1.00%,DAVITA
"DIALYSIS CLINIC, INC. - CAMP CREEK",112878,ATLANTA,50,0.50%,"DIALYSIS CLINIC, INC."
FRESENIUS MEDICAL CARE - CHAPEL HILL,112879,DOUGLASVILLE,62,0.00%,FRESENIUS MEDICAL CARE
CARLSBAD DIALYSIS LLC,112880,ATLANTA,73,0.00%,INDEPENDENT DIALYSIS FOUNDATION (IDF)
TOTAL RENAL CARE INC,112881,WARM SPRINGS,76,0.00%,DAVITA
"USRC VOLDOSTA HOME PROGRAM, LLC",112882,VALDOSTA,57,0.50%,"US RENAL CARE, INC."
"SHONE DIALYSIS, LLC",112883,COVINGTON,67,0.00%,DAVITA
"EMORY DIALYSIS, LLC",112884,ATLANTA,88,0.00%,NOT A CHAIN
"TOTAL RENAL CARE, INC.",112885,AMERICUS,76,0.00%,DAVITA
"ATHENS RENAL CENTER, LLC",112886,ATHENS,51,0.50%,AMERICAN RENAL ASSOCIATES
"GEORGIA KIDNEY INSTITUTE, LLC",112887,MACON,45,1.00%,NOT A CHAIN
"FRESENIUS MEDICAL CARE BRASELTON, LLC",112889,BUFORD,56,0.50%,FRESENIUS MEDICAL CARE
"INNOVATIVE HOME DIALYSIS OF GEORGIA, LLC",112890,CANTON,39,1.00%,"US RENAL CARE, INC."
BAYSHORE DIALYSIS LLC,112891,SAVANNAH,78,0.00%,DAVITA
"TOTAL RENAL CARE, INC.",112892,LOCUST GROVE,61,0.00%,DAVITA
"USRC WINDER, LLC",112893,WINDER,51,0.50%,"US RENAL CARE, INC."
NEPHRON CORPORATION,112894,BUFORD,28,2.00%,NRAA
"WARNER ROBINS DIALYSIS CENTER, LLC",112895,WARNER ROBINS,72,0.00%,AMERICAN RENAL ASSOCIATES
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",112896,JONESBORO,78,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE JONESBORO, LLC",112897,JONESBORO,70,0.00%,FRESENIUS MEDICAL CARE
MILLER DIALYSIS,112898,COLQUITT,54,0.50%,DAVITA
"MACON SOUTHSIDE DIALYSIS CENTER, LLC",112899,MACON,58,0.50%,AMERICAN RENAL ASSOCIATES
BROOKS COUNTY DIALYSIS FACILITY,113500,QUITMAN,67,0.00%,NOT A CHAIN
DECATUR COUNTY DIALYSIS CENTER,113501,BAINBRIDGE,34,1.50%,NOT A CHAIN
DSI WAHIAWA DIALYSIS CENTER,122500,WAHIAWA,74,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DSI HONOLULU DIALYSIS CENTER,122501,HONOLULU,62,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DSI - WINDWARD DIALYSIS CENTER,122502,KANEOHE,75,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DSI ALOHA DIALYSIS CENTER,122503,HONOLULU,72,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
FMC LANAI COMMUNITY DIALYSIS CENTER,122506,LANAI CITY,96,0.00%,FRESENIUS MEDICAL CARE
HILO DIALYSIS,122507,HILO,81,0.00%,LIBERTY DIALYSIS HAWAII
DSI - KAPOLEI DIALYSIS CENTER,122508,KAPOLEI,59,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DSI - PEARLRIDGE DIALYSIS CENTER,122509,AIEA,68,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
MAUI DIALYSIS FACILITY,122510,WAILUKU,59,0.00%,LIBERTY DIALYSIS HAWAII
KAUAI DIALYSIS FACILITY,122511,LIHUE,84,0.00%,LIBERTY DIALYSIS HAWAII
LEEWARD DIALYSIS FACILITY,122512,EWA BEACH,61,0.00%,FRESENIUS MEDICAL CARE
KONA DIALYSIS,122513,KAILUA KONA,68,0.00%,FRESENIUS MEDICAL CARE
WAIANAE DIALYSIS,122514,WAIANAE,68,0.00%,FRESENIUS MEDICAL CARE
KAHANA DIALYSIS,122515,LAHAINA,82,0.00%,FRESENIUS MEDICAL CARE
WEST KAUAI DIALYSIS,122516,WAIMEA,85,0.00%,FRESENIUS MEDICAL CARE
MOLOKAI DIALYSIS FACILITY,122517,KAUNAKAKAI,89,0.00%,FRESENIUS MEDICAL CARE
SIEMSEN DIALYSIS FACILITY,122518,HONOLULU,66,0.00%,LIBERTY DIALYSIS HAWAII
NORTH HAWAII DIALYSIS,122519,KAMUELA,78,0.00%,FRESENIUS MEDICAL CARE
KAIMUKI DIALYSIS,122520,HONOLULU,76,0.00%,FRESENIUS MEDICAL CARE
DSI KAPAHULU DIALYSIS CENTER,122521,HONOLULU,82,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
WAIPAHU DIALYSIS,122522,WAIPAHU,57,0.50%,FRESENIUS MEDICAL CARE
DSI KOOLAU DIALYSIS CENTER,122523,KANEOHE,78,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
LIBERTY DIALYSIS HAWAII KAILUA DIALYSIS FACILITY,122524,KAILUA,83,0.00%,FRESENIUS MEDICAL CARE
DSI WAIPAHU DIALYSIS,122525,WAIPAHU,80,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
RAINBOW DIALYSIS,122526,WAILUKU,51,0.50%,DAVITA
LIBERTY DIALYSIS HAWAII,122527,HONOLULU,78,0.00%,FRESENIUS MEDICAL CARE
RAINBOW DIALYSIS LAHAINA,122528,LAHAINA,95,0.00%,DAVITA
US RENAL CARE WEST OAHU DIALYSIS,122529,KAPOLEI,72,0.00%,"US RENAL CARE, INC."
LIBERTY DIALYSIS HAWAII - HAWAII SALT LAKE,122530,HONOLULU,77,0.00%,LIBERTY DIALYSIS HAWAII
US RENAL CARE BERETANIA DIALYSIS,122531,HONOLULU,60,0.00%,"US RENAL CARE, INC."
LIBERTY DIALYSIS HAWAII MILILANI,122533,MILILANI,73,0.00%,FRESENIUS MEDICAL CARE
BEAR LAKE DIALYSIS CENTER,132304,MONTPELIER,86,0.00%,NOT A CHAIN
GEM STATE REGIONAL DIALYSIS CENTER,132500,IDAHO FALLS,58,0.50%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
NAMPA DIALYSIS CENTER,132501,NAMPA,90,0.00%,DAVITA
TABLE ROCK DIALYSIS CENTER,132502,BOISE,61,0.00%,DAVITA
BURLEY DIALYSIS CENTER,132503,BURLEY,77,0.00%,DAVITA
TWIN FALLS DIALYSIS CENTER,132505,TWIN FALLS,75,0.00%,DAVITA
GATE CITY DIALYSIS CENTER,132506,POCATELLO,50,0.50%,DAVITA
FMC NORTH IDAHO  DIALYSIS FACILITY,132507,COEUR D'ALENE,70,0.00%,FRESENIUS MEDICAL CARE
FMC POST FALLS DIALYSIS UNIT,132508,POST FALLS,77,0.00%,FRESENIUS MEDICAL CARE
YELLOWSTONE DIALYSIS CENTER,132510,REXBURG,90,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
IDAHO KIDNEY CENTER - POCATELLO,132511,POCATELLO,74,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DIALYSIS - MERIDIAN,132512,MERIDIAN,82,0.00%,FRESENIUS MEDICAL CARE
TREASURE VALLEY DIALYSIS CENTER,132513,MERIDIAN,67,0.00%,DAVITA
LIBERTY DIALYSIS - IDAHO FALLS,132514,IDAHO FALLS,81,0.00%,FRESENIUS MEDICAL CARE
IDAHO KIDNEY CENTER - BLACKFOOT,132515,BLACKFOOT,65,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DIALYSIS - NAMPA,132516,NAMPA,90,0.00%,FRESENIUS MEDICAL CARE
CALDWELL DIALYSIS CENTER,132518,CALDWELL,85,0.00%,DAVITA
DSI HAYDEN DIALYSIS,132519,HAYDEN,54,0.50%,OTHER
FMC PALOUSE,132520,MOSCOW,96,0.00%,FRESENIUS MEDICAL CARE
MOSCOW DIALYSIS CENTER,132521,MOSCOW,100,0.00%,DAVITA
LIBERTY DIALYSIS - SANDPOINT,132522,SANDPOINT,84,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DIALYSIS - CALDWELL,132523,CALDWELL,82,0.00%,FRESENIUS MEDICAL CARE
FMC HAYDEN LAKE,132525,COEUR D'ALENE,72,0.00%,FRESENIUS MEDICAL CARE
MAGIC VALLEY KIDNEY CENTER,132526,TWIN FALLS,69,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DIALYSIS - BOISE,132528,BOISE,64,0.00%,FRESENIUS MEDICAL CARE
DSI POST FALLS DIALYSIS,132529,POST FALLS,78,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
"LEWIS-CLARK KIDNEY CENTER, LLC",132530,LEWISTON,55,0.50%,AMERICAN RENAL ASSOCIATES
"TOTAL RENAL CARE, INC.",132532,BOISE,44,1.00%,DAVITA
"TOTAL RENAL CARE, INC.",132533,FRUITLAND,88,0.00%,DAVITA
MT SINAI HOSP MED CTR RENAL UNIT,142302,CHICAGO,47,1.00%,NOT A CHAIN
JOHN H. STROGER JR.HOSPITAL OF COOK COUNTY,142313,CHICAGO,81,0.00%,NOT A CHAIN
DIALYSIS - UNIVERSITY OF ILLINOIS HOSPITAL,142316,CHICAGO,56,0.50%,NOT A CHAIN
LOYOLA CENTER FOR DIALYSIS,142329,MAYWOOD,66,0.00%,NOT A CHAIN
FMC - NEOMEDICA - NORTH KILPATRICK,142501,CHICAGO,78,0.00%,FRESENIUS MEDICAL CARE
FMC - LOOP,142502,CHICAGO,56,0.50%,FRESENIUS MEDICAL CARE
FMC - DOWNERS GROVE DIALYSIS CENTER,142503,DOWNERS GROVE,60,0.00%,FRESENIUS MEDICAL CARE
FMC - OAK PARK DIALYSIS UNIT,142504,OAK PARK,62,0.00%,FRESENIUS MEDICAL CARE
DAVITA - LOOP RENAL CENTER,142505,CHICAGO,62,0.00%,DAVITA
FRESENIUS MEDICAL CARE SUMMIT LLC,142506,CHICAGO,64,0.00%,FRESENIUS MEDICAL CARE
FMC - ELK GROVE DIALYSIS CTR,142507,ELK GROVE VILLAGE,59,0.00%,FRESENIUS MEDICAL CARE
FMC - SOUTHSIDE DIALYSIS CENTER,142508,CHICAGO,38,1.50%,FRESENIUS MEDICAL CARE
FMC - DUPAGE WEST,142509,WEST CHICAGO,78,0.00%,FRESENIUS MEDICAL CARE
DAVITA - EVANSTON RENAL CENTER,142511,EVANSTON,75,0.00%,DAVITA
FMC - CARBONDALE,142514,CARBONDALE,51,0.50%,FRESENIUS MEDICAL CARE
FMC - AURORA DIALYSIS CENTER,142515,AURORA,64,0.00%,FRESENIUS MEDICAL CARE
FMC - JACKSON PARK DIALYSIS CENTER,142516,CHICAGO,59,0.00%,FRESENIUS MEDICAL CARE
FMC - SOUTH SUBURBAN,142517,OLYMPIA FIELDS,51,0.50%,FRESENIUS MEDICAL CARE
USRC - SCOTTSDALE DIALYSIS,142518,CHICAGO,56,0.50%,"US RENAL CARE, INC."
FMC - SOUTH CHICAGO,142519,CHICAGO,68,0.00%,FRESENIUS MEDICAL CARE
FMC - WESTCHESTER,142520,WESTCHESTER,71,0.00%,FRESENIUS MEDICAL CARE
FMC - NORRIDGE,142521,NORRIDGE,65,0.00%,FRESENIUS MEDICAL CARE
FMC - ROGERS PARK,142522,CHICAGO,72,0.00%,FRESENIUS MEDICAL CARE
FMC - WEST BELMONT,142523,CHICAGO,74,0.00%,FRESENIUS MEDICAL CARE
FMC - BRIDGEPORT,142524,CHICAGO,54,0.50%,FRESENIUS MEDICAL CARE
FMC - ROLLING MEADOWS,142525,ROLLING MEADOWS,75,0.00%,FRESENIUS MEDICAL CARE
FMC - QUAD CITIES,142526,MOLINE,53,0.50%,FRESENIUS MEDICAL CARE
DAVITA - METRO EAST DIALYSIS,142527,BELLEVILLE,43,1.00%,DAVITA
"DAVITA - LINCOLN PARK NEPHROLOGY ASSN, SC",142528,CHICAGO,57,0.50%,DAVITA
DAVITA - EMERALD DIALYSIS,142529,CHICAGO,36,1.50%,DAVITA
FMC - WEST SUBURBAN DIALYSIS CENTER,142530,OAK PARK,63,0.00%,FRESENIUS MEDICAL CARE
FMC - NORTHCENTER DIALYSIS,142531,CHICAGO,73,0.00%,FRESENIUS MEDICAL CARE
FMC - BERWYN,142533,BERWYN,65,0.00%,FRESENIUS MEDICAL CARE
DAVITA - LOGAN SQUARE DIALYSIS SVCS INC,142534,CHICAGO,65,0.00%,DAVITA
FMC - SOUTHWEST ILLINOIS,142535,ALTON,56,0.50%,FRESENIUS MEDICAL CARE
FKC - WEST METRO DIALYSIS,142536,CHICAGO,60,0.00%,FRESENIUS MEDICAL CARE
DAVITA -  GRANITE CITY DIALYSIS CENTER,142537,GRANITE CITY,70,0.00%,DAVITA
FMC - CRESTWOOD,142538,CRESTWOOD,61,0.00%,FRESENIUS MEDICAL CARE
FMC - BLUE ISLAND DIALYSIS CENTER,142539,BLUE ISLAND,54,0.50%,FRESENIUS MEDICAL CARE
CIRCLE MEDICAL MANAGEMENT,142540,CHICAGO,30,1.50%,NOT A CHAIN
DAVITA - MT VERNON DIALYSIS,142541,MOUNT VERNON,64,0.00%,DAVITA
FMC - NEOMEDICA - SOUTH HOLLAND,142542,SOUTH HOLLAND,51,0.50%,FRESENIUS MEDICAL CARE
DAVITA - SOUTH HOLLAND,142544,SOUTH HOLLAND,45,1.00%,DAVITA
FMC - RAI - CENTRE WEST SPRINGFIELD,142546,SPRINGFIELD,54,0.50%,FRESENIUS MEDICAL CARE
FMC - HOFFMAN ESTATES,142547,HOFFMAN ESTATES,85,0.00%,FRESENIUS MEDICAL CARE
DAVITA - OLYMPIA FIELDS DIALYSIS CENTER,142548,MATTESON,36,1.50%,DAVITA
FMC - GURNEE,142549,GURNEE,54,0.50%,FRESENIUS MEDICAL CARE
FMC - ORLAND PARK,142550,ORLAND PARK,71,0.00%,FRESENIUS MEDICAL CARE
FMC - GLENVIEW DIALYSIS CENTER,142551,GLENVIEW,77,0.00%,FRESENIUS MEDICAL CARE
DAVITA - LAKE COUNTY DIALYSIS SERVICES INC,142552,VERNON HILLS,69,0.00%,DAVITA
SUN HEALTH,142553,JOLIET,57,0.50%,NOT A CHAIN
FMC - NEOMEDICA - MELROSE PARK,142554,MELROSE PARK,79,0.00%,FRESENIUS MEDICAL CARE
FMC - GARFIELD,142555,CHICAGO,51,0.50%,FRESENIUS MEDICAL CARE
FMC - REGENCY PARK,142558,O FALLON,61,0.00%,FRESENIUS MEDICAL CARE
FMC - NILES,142559,NILES,66,0.00%,FRESENIUS MEDICAL CARE
DAVITA - SKYLINE HOME DIALYSIS,142560,CHICAGO,66,0.00%,DAVITA
DAVITA - SAUGET DIALYSIS CENTER,142561,SAUGET,33,1.50%,DAVITA
FMC - EAST PEORIA DIALYSIS,142562,EAST PEORIA,37,1.50%,FRESENIUS MEDICAL CARE
FMC - MCLEAN COUNTY,142563,BLOOMINGTON,57,0.50%,FRESENIUS MEDICAL CARE
FMC - SPRING VALLEY,142564,SPRING VALLEY,75,0.00%,FRESENIUS MEDICAL CARE
FMC - OF SPOON RIVER,142565,CANTON,78,0.00%,FRESENIUS MEDICAL CARE
FMC - MARQUETTE PARK,142566,CHICAGO,55,0.50%,FRESENIUS MEDICAL CARE
FOX VALLEY DIALYSIS LTD,142568,AURORA,71,0.00%,NOT A CHAIN
FMC - PRAIRIE,142569,CHICAGO,53,0.50%,FRESENIUS MEDICAL CARE
DAVITA - MARION DIALYSIS,142570,MARION,40,1.00%,DAVITA
FMC - CENTRAL ILLINOIS PEKIN,142571,PEKIN,76,0.00%,FRESENIUS MEDICAL CARE
FMC - SOUTH SHORE,142572,CHICAGO,57,0.50%,FRESENIUS MEDICAL CARE
FMC - SALINE COUNTY,142573,HARRISBURG,40,1.00%,FRESENIUS MEDICAL CARE
FMC - PEORIA DOWNTOWN,142574,PEORIA,55,0.50%,FRESENIUS MEDICAL CARE
DAVITA - COUNTRY CLUB HILLS,142575,COUNTRY CLUB HILLS,54,0.50%,DAVITA
FMC - OTTAWA DIALYSIS,142576,OTTAWA,65,0.00%,FRESENIUS MEDICAL CARE
DAVITA - WAUKEGAN DIALYSIS,142577,WAUKEGAN,65,0.00%,DAVITA
FMC - MIDWEST - KEWANEE,142578,KEWANEE,49,0.50%,FRESENIUS MEDICAL CARE
FMC - GALESBURG,142579,GALESBURG,40,1.00%,FRESENIUS MEDICAL CARE
DAVITA - EFFINGHAM DIALYSIS,142580,EFFINGHAM,68,0.00%,DAVITA
DAVITA - JACKSONVILLE DIALYSIS,142581,JACKSONVILLE,56,0.50%,DAVITA
DAVITA - LINCOLN DIALYSIS,142582,LINCOLN,75,0.00%,DAVITA
DAVITA - LITCHFIELD DIALYSIS,142583,LITCHFIELD,78,0.00%,DAVITA
DAVITA - MACON COUNTY DIALYSIS,142584,DECATUR,68,0.00%,DAVITA
DAVITA - MATTOON DIALYSIS,142585,CHARLESTON,68,0.00%,DAVITA
DAVITA - SPRINGFIELD CENTRAL DIALYSIS,142586,SPRINGFIELD,47,1.00%,DAVITA
DAVITA - TAYLORVILLE DIALYSIS,142587,TAYLORVILLE,56,0.50%,DAVITA
FMC - CHAMPAIGN - URBANA DIALYSIS CENTER,142588,URBANA,40,1.00%,FRESENIUS MEDICAL CARE
FMC - RANDOLPH COUNTY,142589,CHESTER,88,0.00%,FRESENIUS MEDICAL CARE
DAVITA - SPRINGFIELD MONTVALE DIALYSIS,142590,SPRINGFIELD,55,0.50%,DAVITA
FMC - MACOMB,142591,MACOMB,69,0.00%,FRESENIUS MEDICAL CARE
FMC - QUAD CITIES,142592,GENESEO,93,0.00%,FRESENIUS MEDICAL CARE
FMC - ELK GROVE HOME DIALYSIS CENTER,142594,ELK GROVE VILLAGE,63,0.00%,FRESENIUS MEDICAL CARE
FMC - DUQUOIN,142595,DUQUOIN,61,0.00%,FRESENIUS MEDICAL CARE
FMC - PLAINFIELD NORTH,142596,PLAINFIELD,71,0.00%,FRESENIUS MEDICAL CARE
FMC - NORTHWESTERN,142597,CHICAGO,53,0.50%,FRESENIUS MEDICAL CARE
DAVITA - CARPENTERSVILLE,142598,CARPENTERSVILLE,73,0.00%,DAVITA
DAVITA - DECATUR EAST WOOD DIALYSIS,142599,DECATUR,49,0.50%,DAVITA
"NEPHRON DIALYSIS CENTER, LTD.",142600,CHICAGO,73,0.00%,NOT A CHAIN
FMC - GREENWOOD AVENUE DIALYSIS CENTER,142601,CHICAGO,51,0.50%,FRESENIUS MEDICAL CARE
FMC - NORTH AVENUE DIALYSIS CENTER,142602,MELROSE PARK,68,0.00%,FRESENIUS MEDICAL CARE
FMC - DIALYSIS CENTERS OF AMERICA-ILLINOIS,142603,DECATUR,74,0.00%,FRESENIUS MEDICAL CARE
DAVITA - CHILDRENS DIALYSIS CENTER,142604,CHICAGO,68,0.00%,DAVITA
FMC - BOLINGBROOK DIALYSIS,142605,BOLINGBROOK,65,0.00%,FRESENIUS MEDICAL CARE
FMC - DUPAGE PERITONEAL DIALYSIS SERVICES,142606,ELMHURST,87,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE CHICAGOLAND, LLC",142607,HAZEL CREST,69,0.00%,FRESENIUS MEDICAL CARE
DAVITA - BENTON DIALYSIS,142608,BENTON,60,0.00%,DAVITA
DAVITA - CENTRALIA DIALYSIS,142609,CENTRALIA,67,0.00%,DAVITA
FMC - PONTIAC,142611,PONTIAC,74,0.00%,FRESENIUS MEDICAL CARE
FMC - ELMHURST DIALYSIS CENTER,142612,ELMHURST,67,0.00%,FRESENIUS MEDICAL CARE
FMC - PEORIA NORTH,142613,PEORIA,59,0.00%,FRESENIUS MEDICAL CARE
TRI CITIES DIALYSIS LLC,142614,GENEVA,72,0.00%,NOT A CHAIN
DAVITA - STONE CREST DIALYSIS,142615,ROCKFORD,64,0.00%,DAVITA
FMC - NEOMEDICA - ROUND LAKE,142616,ROUND LAKE,61,0.00%,FRESENIUS MEDICAL CARE
FMC - GLENDALE HEIGHTS DIALYSIS CENTER,142617,GLENDALE HEIGHTS,66,0.00%,FRESENIUS MEDICAL CARE
FMC - SKOKIE DIALYSIS,142618,SKOKIE,67,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ALTON DIALYSIS,142619,ALTON,56,0.50%,DAVITA
DAVITA - RUSHVILLE DIALYSIS,142620,RUSHVILLE,72,0.00%,DAVITA
FMC - MIDAMERICA EVANSTON,142621,EVANSTON,52,0.50%,FRESENIUS MEDICAL CARE
DAVITA - HAZELCREST,142622,HAZEL CREST,52,0.50%,DAVITA
DIALYZE DIRECT IL - SHELBYVILLE,142624,SHELBYVILLE,55,0.50%,NOT A CHAIN
"DANVILLE DIALYSIS SERVICES, LLC",142625,DANVILLE,51,0.50%,NOT A CHAIN
FMC - WILLIAMSON COUNTY,142627,MARION,45,1.00%,FRESENIUS MEDICAL CARE
DAVITA - ARLINGTON HEIGHTS DIALYSIS,142628,ARLINGTON HEIGHTS,66,0.00%,DAVITA
FMC - ALSIP DIALYSIS CENTER,142630,ALSIP,70,0.00%,FRESENIUS MEDICAL CARE
FMC - DIALYSIS SERVICES OF CONGRESS PARKWAY,142631,CHICAGO,44,1.00%,FRESENIUS MEDICAL CARE
FMC - WILLOWBROOK,142632,WILLOWBROOK,59,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ILLINI RENAL DIALYSIS,142633,CHAMPAIGN,44,1.00%,DAVITA
DAVITA - MARYVILLE DIALYSIS,142634,MARYVILLE,43,1.00%,DAVITA
DAVITA - CHICAGO HEIGHTS DIALYSIS,142635,SOUTH CHICAGO HEIGHT,45,1.00%,DAVITA
DAVITA - JERSEYVILLE DIALYSIS,142636,JERSEYVILLE,66,0.00%,DAVITA
FMC - BREESE DIALYSIS,142637,BREESE,61,0.00%,FRESENIUS MEDICAL CARE
BEVERLY DIALYSIS,142638,CHICAGO,45,1.00%,DAVITA
DAVITA - SYCAMORE,142639,SYCAMORE,56,0.50%,DAVITA
DAVITA - CHURCHVIEW DIALYSIS CENTER,142640,ROCKFORD,61,0.00%,DAVITA
FMC - BURBANK,142641,BURBANK,56,0.50%,FRESENIUS MEDICAL CARE
DAVITA - FREEPORT DIALYSIS,142642,FREEPORT,78,0.00%,DAVITA
DAVITA - MARENGO CITY DIALYSIS,142643,MARENGO,92,0.00%,DAVITA
MAPLE AVENUE KIDNEY CENTER,142644,OAK PARK,25,2.00%,NOT A CHAIN
FMC - QUAD CITITES,142645,DIXON,76,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ROCKFORD DIALYSIS,142647,ROCKFORD,57,0.50%,DAVITA
DAVITA - WHITESIDE DIALYSIS,142648,STERLING,68,0.00%,DAVITA
DAVITA - MONTCLARE DIALYSIS,142649,CHICAGO,47,1.00%,DAVITA
DAVITA - BUFFALO GROVE DIALYSIS,142650,BUFFALO GROVE,66,0.00%,DAVITA
DAVITA - DIXON KIDNEY CENTER,142651,DIXON,69,0.00%,DAVITA
FMC - CENTRAL IL. BLOOMINGTON PD,142652,BLOOMINGTON,58,0.50%,FRESENIUS MEDICAL CARE
FMC - AUSTIN COMMUNITY KIDNEY CENTER,142653,CHICAGO,53,0.50%,FRESENIUS MEDICAL CARE
DAVITA - SCHAUMBURG RENAL CENTER,142654,SCHAUMBURG,84,0.00%,DAVITA
CONCERTO DIALYSIS,142655,CRESTWOOD,52,0.50%,NOT A CHAIN
FMC - OTTAWA HOME DIALYSIS,142656,OTTAWA,68,0.00%,FRESENIUS MEDICAL CARE
FMC - ALEDO,142658,ALEDO,98,0.00%,FRESENIUS MEDICAL CARE
DAVITA - MT GREENWOOD,142660,CHICAGO,55,0.50%,DAVITA
DAVITA - STONY CREEK DIALYSIS,142661,OAK LAWN,62,0.00%,DAVITA
ARA - SOUTH BARRINGTON DIALYSIS CENTER,142662,SOUTH BARRINGTON,84,0.00%,AMERICAN RENAL ASSOCIATES
"CENTER FOR RENAL REPLACEMENT, LLC",142663,LINCOLNWOOD,58,0.50%,NOT A CHAIN
ARA - CRYSTAL LAKE DIALYSIS CENTER,142664,CRYSTAL LAKE,54,0.50%,AMERICAN RENAL ASSOCIATES
DAVITA - ROXBURY DIALYSIS CENTER,142665,ROCKFORD,65,0.00%,DAVITA
LAKE VILLA DIALYSIS,142666,LAKE VILLA,61,0.00%,DAVITA
FMC - MERRIONETTE PARK,142667,MERRIONETTE PARK,59,0.00%,FRESENIUS MEDICAL CARE
DAVITA - LITTLE VILLAGE DIALYSIS,142668,CHICAGO,79,0.00%,DAVITA
FKC - LAKE BLUFF,142669,LAKE BLUFF,72,0.00%,FRESENIUS MEDICAL CARE
FMC - ROSS DIALYSIS - ENGLEWOOD,142670,CHICAGO,44,1.00%,FRESENIUS MEDICAL CARE
DAVITA - MANTENO DIALYSIS CENTRE,142671,MANTENO,67,0.00%,DAVITA
FMC - OF MCHENRY,142672,MCHENRY,82,0.00%,FRESENIUS MEDICAL CARE
FMC - ANTIOCH,142673,ANTIOCH,73,0.00%,FRESENIUS MEDICAL CARE
DAVITA - OLNEY DIALYSIS CENTER,142674,OLNEY,53,0.50%,DAVITA
"FMC - QUAD CITIES KIDNEY CENTER SILVIS, LLC",142675,SILVIS,70,0.00%,FRESENIUS MEDICAL CARE
AFFILIATED DIALYSIS CENTERS,142676,OAK PARK,41,1.00%,NOT A CHAIN
FMC - OSWEGO,142677,OSWEGO,78,0.00%,FRESENIUS MEDICAL CARE
FMC - NAPERVILLE NORTH DIALYSIS CENTER,142678,NAPERVILLE,74,0.00%,FRESENIUS MEDICAL CARE
FMC - NA LAKEVIEW DIALYSIS,142679,CHICAGO,80,0.00%,FRESENIUS MEDICAL CARE
QUINCY MEDICAL GROUP PERITONEAL DIALYSIS CTR,142680,QUINCY,27,2.00%,NOT A CHAIN
FMC - CHICAGO WESTSIDE DIALYSIS,142681,CHICAGO,71,0.00%,FRESENIUS MEDICAL CARE
DIALYZE DIRECT IL - WASHINGTON,142683,WASHINGTON,34,1.50%,NOT A CHAIN
KANKAKEE COUNTY DIALYSIS,142685,BOURBONNAIS,34,1.50%,DAVITA
DAVITA - MARYVILLE HOME DIALYSIS,142686,MARYVILLE,38,1.50%,DAVITA
DAVITA EDENS HOME DIALYSIS,142687,SKOKIE,19,2.00%,NOT A CHAIN
DAVITA - WAYNE COUNTY,142688,FAIRFIELD,66,0.00%,DAVITA
FKC - MOKENA DIALYSIS,142689,MOKENA,63,0.00%,FRESENIUS MEDICAL CARE
FMC - ROSELAND,142690,CHICAGO,49,0.50%,FRESENIUS MEDICAL CARE
FMC - UPTOWN,142692,CHICAGO,57,0.50%,FRESENIUS MEDICAL CARE
DAVITA - VANDALIA DIALYSIS,142693,VANDALIA,78,0.00%,DAVITA
