Provider Number,Facility Name,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Percent of Adult HD patients with Kt/V >= 1.2,Number of adult HD patients with KT/V data,Mortality Rate (Facility),Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Number of patients included in hospitalization summary,No. of hospitalization with hospital readmission summary,Number of Patients included in survival summary,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,PPPW category text,Patient Transfusion category text,Fistula Category Text,Patient Infection category text,Patient Hospital Readmission Category,Patient Survival Category Text,Patient hospitalization category text
72556,AVON DIALYSIS INC,UNKNOWN,Non-Profit,"DIALYSIS CLINIC, INC.",12,0,5,0,1,6,9,8,12,2,2,2,6,6,9,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
82300,CHRISTIANA CARE HEALTH SYSTEM,UNKNOWN,Non-Profit,INDEPENDENT,21,84,22,33.8,9,22,163,29,163,11,23,63,28,28,176,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,Not Available
102547,FMC - SOUTH SAINT PETERSBURG,PINELLAS,Profit,FRESENIUS MEDICAL CARE,31,97,79,18.1,51,81,746,90,776,62,74,272,89,89,777,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102549,DAVITA PORT CHARLOTTE ARTIFICIAL KIDNEY CENTER,CHARLOTTE,Profit,DAVITA,21,99,95,23.3,74,98,742,100,771,82,72,339,101,101,780,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
52871,DAVITA CENTRAL COAST KIDNEY CENTER,SANTA BARBARA,Profit,DAVITA,41,99,244,21.1,201,290,2814,306,2948,229,191,844,266,266,2544,0,0,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected,As Expected
52872,FLORENCE DIALYSIS CENTER,LOS ANGELES,Profit,INDEPENDENT,32,93,85,24.7,58,87,826,91,869,62,65,240,91,91,871,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
52873,DAVITA THOUSAND OAKS DIALYSIS,VENTURA,Profit,DAVITA,15,94,59,23.5,52,77,597,84,633,61,70,291,72,72,543,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
52874,SATELLITE HEALTHCARE INC,SAN MATEO,Non-Profit,SATELLITE HEALTHCARE,24,96,119,35.1,63,135,1312,140,1303,67,58,327,139,139,1341,0,0,Better than Expected,As Expected,Better than Expected,Better than Expected,As Expected,Worse than Expected,As Expected
62568,062568 PUEBLO WEST DIALYSIS (FMC),PUEBLO,Profit,FRESENIUS MEDICAL CARE,13,100,34,16.3,21,38,298,38,308,26,15,93,39,39,310,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112716,FMC WEST CHATHAM DIALYSIS CENTER,CHATHAM,Profit,FRESENIUS MEDICAL CARE,16,97,62,26.8,49,63,577,63,573,54,73,198,63,63,588,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112718,FMC DIALYSIS SERVICES OF WALTON,WALTON,Profit,FRESENIUS MEDICAL CARE,11,95,53,21.1,38,55,418,56,441,42,35,170,55,55,446,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112719,"US RENAL CARE,INC",FRANKLIN,Profit,"US RENAL CARE, INC.",18,94,61,15.8,50,63,606,64,609,56,66,225,65,65,617,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
112720,FMC NEW BAILIE,RICHMOND,Profit,FRESENIUS MEDICAL CARE,29,95,105,36.3,65,106,973,109,994,78,106,322,112,112,1004,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,As Expected
102741,CLEWISTON DIALYSIS CENTER,HENDRY,Profit,AMERICAN RENAL ASSOCIATES,10,99,47,18.5,42,50,447,54,460,45,45,161,55,55,465,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102876,WESTERN COMMUNITY DIALYSIS CENTER LLC,PALM BEACH,Profit,AMERICAN RENAL ASSOCIATES,18,100,65,20.4,45,82,737,83,747,55,56,267,73,73,647,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102877,ARA NORTH JACKSONVILLE,DUVAL,Profit,AMERICAN RENAL ASSOCIATES,20,99,90,23.1,57,95,885,99,923,74,99,314,100,100,925,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102878,DAVITA ADVANCED DIALYSIS CENTER OF FORT LAUDERDALE,BROWARD,Profit,DAVITA,20,98,78,19.2,61,79,737,77,724,69,96,328,81,81,755,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102879,FMC - OCEANWAY,DUVAL,Profit,FRESENIUS MEDICAL CARE,12,96,64,18.8,47,70,612,73,641,64,108,243,73,73,642,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,Worse than Expected
112609,NEPHROLOGY CENTERS OF AMERICA GROVETOWN,COLUMBIA,Profit,AMERICAN RENAL ASSOCIATES,16,99,82,34.4,78,150,1293,155,1356,120,114,437,90,90,742,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,As Expected
102551,DAVITA LEESBURG DIALYSIS CENTER,LAKE,Profit,DAVITA,24,97,119,24.0,113,139,1143,147,1144,129,154,462,125,125,974,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102553,RAI-S COURTENAY-MERRITT ISLAND,BREVARD,Profit,FRESENIUS MEDICAL CARE,32,98,123,22.5,106,157,1402,166,1456,136,158,594,142,142,1227,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102554,DAVITA PLANT CITY DIALYSIS,HILLSBOROUGH,Profit,DAVITA,17,99,115,26.6,81,134,1124,140,1166,96,128,368,125,125,983,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102555,DAVITA BROWARD DIALYSIS,BROWARD,Profit,DAVITA,21,94,54,28.0,39,56,419,57,402,42,58,192,57,57,418,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102684,BMA - SAINT JOHNS,DUVAL,Profit,FRESENIUS MEDICAL CARE,24,98,119,26.4,117,176,1539,183,1594,141,196,539,148,148,1279,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62569,DAVITA BLACK CANYON DIALYSIS,MONTROSE,Profit,DAVITA,13,100,30,18.6,28,37,314,40,333,34,23,146,35,35,280,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62570,062570 KIDNEY CENTER OF BEAR CREEK (ARA),JEFFERSON,Profit,AMERICAN RENAL ASSOCIATES,15,96,46,16.4,25,50,481,52,460,44,38,170,52,52,492,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
62571,062571 THORNTON KIDNEY CENTER LLC  (ARA),ADAMS,Profit,AMERICAN RENAL ASSOCIATES,13,97,62,25.0,30,64,568,70,610,45,56,168,70,70,610,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62572,DAVITA SOUTH WEST DENVER DIALYSIS,JEFFERSON,Profit,DAVITA,8,99,48,27.4,49,80,668,81,673,59,44,236,51,51,393,0,0,Better than Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62573,062573 KIDNEY CENTER ON MAIN (ARA),BOULDER,Profit,AMERICAN RENAL ASSOCIATES,14,100,30,29.2,13,32,252,34,262,27,22,99,34,34,270,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
102742,DAVITA BAY BREEZE DIALYSIS,PINELLAS,Profit,DAVITA,20,98,95,26.6,73,117,929,124,965,92,133,403,109,109,829,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102744,DAVITA FORT MYERS SOUTH DIALYSIS,LEE,Profit,DAVITA,22,100,87,16.7,74,101,775,110,807,90,96,374,97,97,723,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
102745,RCG - SACRED HEART - ADULT DIALYSIS,ESCAMBIA,Profit,FRESENIUS MEDICAL CARE,25,95,125,20.5,107,131,1190,141,1218,120,148,455,142,142,1231,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102746,BMA - WEST DADE,MIAMI-DADE,Profit,FRESENIUS MEDICAL CARE,16,99,63,30.4,46,65,572,69,597,53,60,243,68,68,598,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102747,CONTINENTAL DIALYSIS CARE,PALM BEACH,Profit,AMERICAN RENAL ASSOCIATES,27,98,160,20.0,123,176,1436,191,1518,140,160,490,185,185,1474,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112610,DCI LAFAYETTE,WALKER,Non-Profit,"DIALYSIS CLINIC, INC.",16,96,41,24.7,36,47,443,49,450,41,64,163,50,50,455,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112612,"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC",UNKNOWN,Profit,FRESENIUS MEDICAL CARE,12,98,46,28.3,39,57,462,61,479,46,67,159,55,55,398,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112613,FRESENIUS MEDICAL CARE HEPHZIBAH,UNKNOWN,Profit,FRESENIUS MEDICAL CARE,11,98,68,21.9,53,68,599,72,620,59,39,181,72,72,628,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112615,DCI DEKALB,UNKNOWN,Non-Profit,"DIALYSIS CLINIC, INC.",12,96,39,24.9,35,42,410,40,391,38,22,166,41,41,403,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112617,DAVITA NORTH FULTON DIALYSIS,FULTON,Profit,DAVITA,9,94,52,22.9,58,77,695,80,661,67,60,265,66,66,539,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102687,AVENTURA DIALYSIS CENTER,MIAMI-DADE,Profit,AMERICAN RENAL ASSOCIATES,24,97,99,20.8,64,102,867,104,877,79,109,348,103,103,891,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102689,RAI CARE CENTERS - LAKE WALES,POLK,Profit,FRESENIUS MEDICAL CARE,15,97,60,20.3,43,61,424,68,461,52,85,160,67,67,468,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102690,RAI CARE CENTERS - LARGO,PINELLAS,Profit,FRESENIUS MEDICAL CARE,21,94,108,27.2,61,109,886,121,979,78,115,271,122,122,995,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102692,DAVITA ST AUGUSTINE DIALYSIS,SAINT JOHNS,Profit,DAVITA,18,100,84,18.4,69,84,773,92,812,77,89,301,91,91,814,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102693,DAVITA GULF BREEZE DIALYSIS CENTER,PINELLAS,Profit,DAVITA,25,98,65,31.0,42,67,539,69,532,53,76,273,70,70,543,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
82519,FRESENIUS KIDNEY CARE - MILLSBORO,SUSSEX,Profit,FRESENIUS MEDICAL CARE,12,99,61,23.7,46,62,489,69,526,59,53,244,68,68,528,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
82520,FRESENIUS KIDNEY CARE - BRANDYWINE HOME THERAPIES,NEW CASTLE,Profit,FRESENIUS MEDICAL CARE,3,0,9,18.6,99,175,1479,190,1528,118,112,477,82,82,531,0,0,Better than Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
82521,FRESENIUS KIDNEY CARE - FOX RUN,NEW CASTLE,Profit,FRESENIUS MEDICAL CARE,15,99,84,13.9,59,86,775,89,795,73,74,277,88,88,788,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,Better than Expected,As Expected
82522,AMERICAN UNIVERSAL LLC,NEW CASTLE,Profit,AMERICAN RENAL ASSOCIATES,17,94,65,38.2,52,77,744,79,769,61,69,242,67,67,695,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
82523,AMERICAN UNIVERSAL - HOCKESSIN,NEW CASTLE,Profit,AMERICAN RENAL ASSOCIATES,11,92,23,27.8,15,32,279,37,294,20,30,82,30,30,213,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
82524,"DSI LAUREL DIALYSIS, LLC",SAN MATEO,Profit,"US RENAL CARE, INC.",16,97,28,16.0,20,28,255,31,269,26,49,107,30,30,251,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102855,FMC - CORAL SPRINGS,BROWARD,Profit,FRESENIUS MEDICAL CARE,28,96,127,21.0,91,179,1555,179,1574,113,98,527,162,162,1450,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102856,FMC - NARANJA,MIAMI-DADE,Profit,FRESENIUS MEDICAL CARE,16,98,87,17.9,53,90,783,96,830,59,49,267,95,95,835,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102857,DAVITA CASSELBERRY DIALYSIS,SEMINOLE,Profit,DAVITA,20,99,99,22.1,70,100,858,108,878,85,113,338,108,108,890,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102858,DAVITA WINTER PARK HEMO DIALYSIS,ORANGE,Profit,DAVITA,24,98,86,20.6,57,90,810,91,807,71,125,346,93,93,835,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102859,DAVITA WINTER PARK DIALYSIS,ORANGE,Profit,DAVITA,12,98,59,24.8,49,65,501,69,513,57,106,245,69,69,521,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected
112744,DIALYSIS FACILITY OF ALMA INC,BACON,Profit,FRESENIUS MEDICAL CARE,17,95,42,20.5,35,42,391,45,400,35,31,134,45,45,411,0,0,Worse than Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected
112745,DAVITA LAKE HEARN DIALYSIS,FULTON,Profit,DAVITA,20,98,68,23.9,49,68,511,69,507,57,54,237,72,72,525,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112746,DAVITA DIALYSIS OF LITHONIA,UNKNOWN,Profit,DAVITA,24,96,132,25.9,121,173,1327,174,1315,135,128,510,137,137,1013,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112748,COMMUNITY DIALYSIS CENTER OF COLUMBUS LLC,MUSCOGEE,Profit,INDEPENDENT,17,95,17,31.1,16,17,146,17,140,17,17,99,16,16,147,0,0,Not Available,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
112749,FRESENIUS MEDICAL CARE CARROL COUNTY,CARROLL,Profit,FRESENIUS MEDICAL CARE,26,95,122,24.6,103,158,1404,162,1440,122,137,511,131,131,1166,0,0,As Expected,Worse than Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
112750,FRESENIUS MEDICAL CARE COLLEGE PARK,FULTON,Profit,FRESENIUS MEDICAL CARE,18,99,57,21.7,61,74,620,77,637,64,84,252,69,69,575,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62546,DAVITA DENVER DIALYSIS CENTER,DENVER,Profit,DAVITA,16,98,67,27.1,47,72,666,72,653,55,70,234,74,74,670,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62547,DAVITA DURANGO DIALYSIS CENTER,LA PLATA,Profit,DAVITA,8,95,36,21.6,36,58,514,58,508,42,36,177,39,39,313,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62548,062548 STAPLETON DIALYSIS (FMC),DENVER,Profit,FRESENIUS MEDICAL CARE,20,98,59,21.4,40,62,579,69,606,46,40,202,69,69,614,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62550,DAVITA ALAMOSA DIALYSIS,ALAMOSA,Profit,DAVITA,12,99,69,21.8,66,80,692,80,713,69,40,262,73,73,630,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
62553,DAVITA GRAND JUNCTION DIALYSIS CENTER,MESA,Profit,DAVITA,18,98,80,17.1,64,92,776,99,827,74,55,288,100,100,832,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102584,BRANDON ARTIFICIAL KIDNEY CENTER,HILLSBOROUGH,Profit,FRESENIUS MEDICAL CARE,16,96,99,19.0,94,141,1350,146,1372,110,162,400,110,110,991,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102585,CENTRAL FLORIDA KIDNEY CENTER - VINELAND,ORANGE,Non-Profit,CENTRAL FLORIDA KIDNEY CENTERS,16,88,69,21.5,53,76,636,85,665,59,89,225,84,84,673,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
102586,DAVITA GREATER MIAMI DIALYSIS,MIAMI-DADE,Profit,DAVITA,20,100,112,20.3,69,127,1165,132,1216,84,57,410,120,120,1103,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102587,R & S HEALTH GROUP LLC,BROWARD,Profit,INDEPENDENT,22,84,85,27.0,67,97,787,103,810,77,131,214,98,98,780,0,0,As Expected,Worse than Expected,As Expected,Not Available,Worse than Expected,As Expected,Worse than Expected
102590,DAVITA NEW PORT RICHEY KIDNEY CENTER,PASCO,Profit,DAVITA,28,99,164,25.2,132,194,1697,199,1731,153,198,750,178,178,1538,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102860,UNIVERSAL KIDNEY CENTER OF MARGATE-CORAL SPRINGS LLC,BROWARD,Profit,INDEPENDENT,30,94,34,27.0,29,37,317,38,301,32,38,137,39,39,328,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,Worse than Expected
112578,DAVITA BUCKHEAD DIALYSIS,FULTON,Profit,DAVITA,17,98,38,8.3,32,41,293,41,299,38,51,157,41,41,291,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected
112579,DAVITA WYLDS ROAD DIALYSIS,RICHMOND,Profit,DAVITA,20,97,56,27.1,42,72,610,74,597,51,75,208,64,64,500,0,0,As Expected,As Expected,As Expected,Better than Expected,Worse than Expected,As Expected,As Expected
112581,DAVITA COBB DIALYSIS,COBB,Profit,DAVITA,25,98,106,23.5,74,110,847,109,818,85,96,306,113,113,882,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112583,DAVITA DIALYSIS CENTER OF MIDDLE GEORGIA-MACON,BIBB,Profit,DAVITA,19,95,83,18.9,73,102,1024,98,980,81,90,315,93,93,902,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
102770,RCG - BAPTIST NORTH,ESCAMBIA,Profit,FRESENIUS MEDICAL CARE,19,98,99,29.9,79,101,845,110,902,91,117,359,107,107,894,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
102771,DAVITA CHIPLEY DIALYSIS,WASHINGTON,Profit,DAVITA,20,96,67,31.4,56,67,600,71,615,63,64,254,72,72,620,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
102772,DAVITA ORLANDO HOME TRAINING DIALYSIS,ORANGE,Profit,DAVITA,4,0,0,27.6,40,64,514,66,514,47,53,200,0,0,0,0,0,As Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
102773,DAVITA ST. PETERSBURG DIALYSIS,PINELLAS,Profit,DAVITA,20,99,74,22.9,56,87,708,94,737,69,113,297,82,82,605,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
102774,ARA - BOCA RATON DIALYSIS LLC,PALM BEACH,Profit,AMERICAN RENAL ASSOCIATES,21,99,104,16.0,60,118,887,133,950,115,97,448,125,125,871,1,6,As Expected,Worse than Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected
62554,062554 KIDNEY CENTER OF ARVADA (ARA),JEFFERSON,Profit,AMERICAN RENAL ASSOCIATES,21,100,87,20.2,39,110,1106,113,1144,76,58,352,96,96,957,0,0,Better than Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
82301,BAYHEALTH MEDICAL CENTER,KENT,Non-Profit,INDEPENDENT,9,0,1,0,0,1,6,0,0,2,3,8,4,4,13,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
82302,ALFRED I. DUPONT HOSPITAL FOR CHILDREN DIALYSIS CENTER,NEW CASTLE,Non-Profit,INDEPENDENT,6,0,0,0,0,0,0,1,1,3,7,31,1,1,1,6,22,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
82501,FRESENIUS KIDNEY CARE - BRANDYWINE,NEW CASTLE,Profit,FRESENIUS MEDICAL CARE,25,96,59,17.8,51,63,532,63,534,58,56,253,62,62,535,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
82502,FRESENIUS KIDNEY CARE - CENTRAL DELAWARE,KENT,Profit,FRESENIUS MEDICAL CARE,25,100,107,17.8,67,109,1115,110,1091,95,139,436,111,111,1088,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
82503,FRESENIUS KIDNEY CARE - MID SUSSEX COUNTY,SUSSEX,Profit,FRESENIUS MEDICAL CARE,21,99,88,19.8,29,88,791,89,794,77,52,317,90,90,808,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102591,NORTHEAST FLORIDA DIALYSIS CENTER,CLAY,Profit,AMERICAN RENAL ASSOCIATES,24,99,105,16.8,79,122,1135,132,1189,110,138,436,114,114,1025,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
52875,U.S. RENAL CARE CULVER CITY,LOS ANGELES,Profit,"US RENAL CARE, INC.",18,90,102,20.3,64,104,893,103,901,76,153,315,107,107,931,1,12,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
52876,OROVILLE DIALYSIS CLINIC,BUTTE,Non-Profit,"DIALYSIS CLINIC, INC.",15,93,93,22.1,75,106,982,110,1029,89,181,360,103,103,979,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,Worse than Expected
52877,YUBA SUTTER DIALYSIS,SUTTER,Profit,AMERICAN RENAL ASSOCIATES,21,96,105,31.8,77,107,1003,120,1061,97,166,384,121,121,1065,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
52878,FMC-SAN BERNARDINO,SAN BERNARDINO,Profit,FRESENIUS MEDICAL CARE,21,99,122,35.1,51,136,1131,141,1174,68,73,260,143,143,1181,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,Worse than Expected
112585,"FRESENIUS MEDICAL CARE WARNER ROBINS, LLC",HOUSTON,Profit,FRESENIUS MEDICAL CARE,1,0,1,24.8,16,25,201,25,200,16,6,65,3,3,15,0,0,As Expected,Not Available,Not Available,Not Available,Not Available,As Expected,As Expected
112587,DCI EAST ALBANY,DOUGHERTY,Non-Profit,"DIALYSIS CLINIC, INC.",20,84,102,27.0,76,102,421,108,442,85,54,401,106,106,451,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
112721,FMC DIALYSIS SERVICES WOODSTOCK,CHEROKEE,Profit,FRESENIUS MEDICAL CARE,16,99,78,23.8,77,120,932,129,983,98,107,318,96,96,719,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112722,ARA AUGUSTA LLC,RICHMOND,Profit,AMERICAN RENAL ASSOCIATES,30,98,120,21.8,48,147,1397,153,1404,128,154,554,134,134,1202,0,0,As Expected,Worse than Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
112723,DAVITA VIDALIA FIRST STREET DIALYSIS,TOOMBS,Profit,DAVITA,21,97,54,27.8,41,56,540,56,535,45,43,171,57,57,550,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
112724,DAVITA MONTEZUMA DIALYSIS,MACON,Profit,DAVITA,12,97,55,24.0,41,58,558,57,543,47,49,190,60,60,565,0,0,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102775,DAVITA ORANGE CITY DIALYSIS,VOLUSIA,Profit,DAVITA,16,97,77,31.7,56,79,663,83,690,67,119,319,83,83,704,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,Worse than Expected
102880,DAVITA WINTER GARDEN DIALYSIS,ORANGE,Profit,DAVITA,16,99,52,25.6,35,54,402,59,421,48,53,187,60,60,420,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102882,LEHIGH ACRES DIALYSIS CENTER LLC,LEE,Profit,AMERICAN RENAL ASSOCIATES,16,100,93,22.7,89,115,1115,118,1149,97,115,406,102,102,941,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102883,RENAL CAREPARTNERS AT MEMORIAL WEST LLC,BROWARD,Profit,RENAL CARE PARTNERS,16,99,69,21.1,41,72,601,76,621,47,78,215,77,77,630,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
102884,DAVITA ORLANDO PARK DIALYSIS,ORANGE,Profit,DAVITA,24,96,118,23.8,85,120,1078,123,1081,98,158,405,123,123,1094,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected
82505,FRESENIUS KIDNEY CARE - RIVERSIDE PARK,NEW CASTLE,Profit,FRESENIUS MEDICAL CARE,24,98,84,20.4,78,110,1064,115,1074,87,91,429,89,89,829,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102557,FMC DIALYSIS SERVICES - SAINT AUGUSTINE,SAINT JOHNS,Profit,FRESENIUS MEDICAL CARE,17,98,66,19.7,59,89,707,100,760,68,69,335,78,78,560,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102558,PHYSICIANS NORTH BEACH,MIAMI-DADE,Profit,INDEPENDENT,22,96,194,33.6,152,224,1579,244,1619,190,213,739,245,245,1658,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
102559,FLORIDA KIDNEY CENTER,BROWARD,Profit,FRESENIUS MEDICAL CARE,32,97,142,24.5,97,152,1386,158,1420,114,103,496,158,158,1421,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
102563,DAVITA BAYONET POINT - HUDSON KIDNEY CENTER,PASCO,Profit,DAVITA,16,100,87,23.2,65,91,715,99,750,76,84,329,100,100,748,0,0,Worse than Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected
52879,HACIENDA DIALYSIS CENTER,LOS ANGELES,Profit,INDEPENDENT,19,98,81,20.3,55,88,900,93,922,64,56,284,89,89,873,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
52880,FMC-BELLFLOWER,LOS ANGELES,Profit,FRESENIUS MEDICAL CARE,36,100,168,33.4,77,189,1972,198,2030,81,60,354,199,199,2038,0,0,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,Worse than Expected,As Expected
